blockheight,timestamp,address,amount
19125011, 2024-01-31T07:34:11.000Z, 0x9aaDa0f3DbF8390BA0B5F22Ff0b5aa814554BBcC, 500
19142591, 2024-02-02T18:47:35.000Z, 0xd872b7d4889Ab1c7de5a17a7877cA641AD2c3F72, 27652.870916345382
19189739, 2024-02-09T09:40:35.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 30000
19616815, 2024-04-09T08:11:47.000Z, 0x1e435Bf87ec1B2f1f9DafCd67Cff79B5991235B7, 8783.85321815527
19623707, 2024-04-10T07:21:23.000Z, 0x0cc8eF9F687232EB39021b83AcD23Ca4c73cdF31, 127.66
19626082, 2024-04-10T15:20:47.000Z, 0x5ED5dD65aB0dC1bCCC44eedAa40680C231FAaa9F, 3162.4760062072673
19627839, 2024-04-10T21:13:11.000Z, 0x5ED5dD65aB0dC1bCCC44eedAa40680C231FAaa9F, 3173.2891149177094
19627853, 2024-04-10T21:15:59.000Z, 0x22A956C4755d8C4294b358dC346E74250E175622, 4962.033505872614
19630874, 2024-04-11T07:24:59.000Z, 0x22A956C4755d8C4294b358dC346E74250E175622, 2356.796982343024
19631924, 2024-04-11T10:56:23.000Z, 0xDaae7AF729292f50376092A953C8CFeD7c442B28, 97.3642691
19636937, 2024-04-12T03:46:47.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1310.3996829592231
19646255, 2024-04-13T11:08:47.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1229.1590965264877
19649879, 2024-04-13T23:22:11.000Z, 0x5ED5dD65aB0dC1bCCC44eedAa40680C231FAaa9F, 2785.2109440489585
19651408, 2024-04-14T04:31:11.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1686.8602878291156
19652401, 2024-04-14T07:52:35.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1712.3752969680897
19656651, 2024-04-14T22:08:11.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1765.8472804836626
19659061, 2024-04-15T06:14:23.000Z, 0x5ED5dD65aB0dC1bCCC44eedAa40680C231FAaa9F, 2316.8514532437794
19660444, 2024-04-15T10:54:59.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1224.0708001925557
19672006, 2024-04-17T01:47:47.000Z, 0xEa7A0BC8aB1448598621d39b8313C17D2C960C16, 239.0179568321277
19674616, 2024-04-17T10:32:11.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1155.5682253479745
19676913, 2024-04-17T18:14:23.000Z, 0x5ED5dD65aB0dC1bCCC44eedAa40680C231FAaa9F, 2794.1054685714
19679877, 2024-04-18T04:12:23.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1145.1396489498647
19680696, 2024-04-18T06:56:35.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1122.1010594673396
19682064, 2024-04-18T11:32:23.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1706.7774972201726
19683745, 2024-04-18T17:11:11.000Z, 0x9f1C5712F5bbef2833eA694DB5e326bc3645fAce, 7436.90641249548
19684321, 2024-04-18T19:07:23.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1140.3062805846744
19687777, 2024-04-19T06:43:35.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1690.397430082387
19697659, 2024-04-20T15:56:47.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1718.6159464581149
19702580, 2024-04-21T08:26:47.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1180.5182248928718
19708542, 2024-04-22T04:25:59.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1189.4846467533685
19719654, 2024-04-23T17:42:47.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1201.956903167333
19724448, 2024-04-24T09:48:59.000Z, 0xe8F2488B065A8966580957BFec224472B3415171, 899.6401239619928
19724937, 2024-04-24T11:27:35.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1219.2454909803967
19733307, 2024-04-25T15:34:47.000Z, 0x77796c658d75A232ECDBf92c5d71Ec082F735780, 18007.00714278042
19748185, 2024-04-27T17:33:59.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1189.6085304660903
19748290, 2024-04-27T17:54:59.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1808.7710843646062
19750957, 2024-04-28T02:52:59.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1237.5799888000795
19753373, 2024-04-28T10:58:47.000Z, 0xE1fE52DB85E5e175EBC5BC211B1E081267063860, 1
19753377, 2024-04-28T10:59:35.000Z, 0xE1fE52DB85E5e175EBC5BC211B1E081267063860, 39729.32623396555
19775306, 2024-05-01T12:33:47.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1657.925438553875
19777196, 2024-05-01T18:52:59.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1708.8098255217476
19778320, 2024-05-01T22:38:35.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1133.2790897668426
19782021, 2024-05-02T11:04:23.000Z, 0xd96740E592a7AC8af1467E44EDBd7a2965dBbcB2, 1139.0676552674229
