blockheight,timestamp,address,amount
18451708, 2023-10-28T22:35:59.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 24999.999999999996
18455565, 2023-10-29T11:32:59.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 1001
18478332, 2023-11-01T16:05:11.000Z, 0xd872b7d4889Ab1c7de5a17a7877cA641AD2c3F72, 6610.878591688791
18483215, 2023-11-02T08:28:23.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 77011.1
18483215, 2023-11-02T08:28:23.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 22988.899999999998
18490578, 2023-11-03T09:15:47.000Z, 0xd872b7d4889Ab1c7de5a17a7877cA641AD2c3F72, 4938.299999999999
18490997, 2023-11-03T10:40:23.000Z, 0xE04234C17F90C4636b27da795C98D3F5Ab4ACC4d, 802.5223480346841
18491512, 2023-11-03T12:23:47.000Z, 0x59e5Aa3340FF6668819175354Ed79b360eaf1D1B, 1115.0004885359938
18519336, 2023-11-07T09:59:47.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 31006.600000000002
18519336, 2023-11-07T09:59:47.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 8993.4
18527127, 2023-11-08T12:06:11.000Z, 0xE1fE52DB85E5e175EBC5BC211B1E081267063860, 1
18527139, 2023-11-08T12:08:35.000Z, 0xE1fE52DB85E5e175EBC5BC211B1E081267063860, 24999
18528182, 2023-11-08T15:38:47.000Z, 0x77796c658d75A232ECDBf92c5d71Ec082F735780, 1699.4470211027635
18579518, 2023-11-15T19:57:59.000Z, 0x0aB6527027EcFF1144dEc3d78154fce309ac838c, 6588.952912879959
18585330, 2023-11-16T15:25:47.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 1145.1929976172557
18651054, 2023-11-25T20:20:59.000Z, 0x055C75620c89b086d3f444b3e2714384C55AF5Ed, 867.7957697404522
18662426, 2023-11-27T10:36:23.000Z, 0x4C2bD75D6CB51b4e4fFA67598c6FC7c1860d19D5, 89.73763088831215
19036023, 2024-01-18T20:06:59.000Z, 0xF9005F6500639ade2ECA93d819eE938ea1B2E3bA, 200
19063424, 2024-01-22T16:22:59.000Z, 0xdEa2ed23C9548c7b3E3c9dF38B040599657727Ee, 100
19068662, 2024-01-23T10:05:59.000Z, 0xad309AeCF82FBBE26eb126C0389F744243092677, 1000
19097653, 2024-01-27T11:35:23.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 1000
19098907, 2024-01-27T15:47:47.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 87080.76
19098907, 2024-01-27T15:47:47.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 32919.24
19113926, 2024-01-29T18:19:11.000Z, 0x8E7Bf9255a44Cc665DB6A409F0A270C0f5B2FDd9, 8594.99930713
19114294, 2024-01-29T19:33:35.000Z, 0x8E7Bf9255a44Cc665DB6A409F0A270C0f5B2FDd9, 60132.30586785
19120431, 2024-01-30T16:10:59.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 3900.0550000000003
19120431, 2024-01-30T16:10:59.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 1099.945
19120644, 2024-01-30T16:53:59.000Z, 0x9aaDa0f3DbF8390BA0B5F22Ff0b5aa814554BBcC, 5850.09
19120644, 2024-01-30T16:53:59.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 1649.91
19120735, 2024-01-30T17:12:23.000Z, 0x2D89f8cC2C8b2FaBcd9afa773400a37F51D74561, 11700.195
19120735, 2024-01-30T17:12:23.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 3299.8050000000003
19121854, 2024-01-30T20:57:59.000Z, 0x6582108c774B9394C6220c6C78a6B4bCdB7bd62E, 87.40454503999999
19123090, 2024-01-31T01:06:23.000Z, 0x4Ab12E7CE31857Ee022f273e8580F73335a73c0B, 231.0795808633184
19127475, 2024-01-31T15:53:35.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 230119.175
19127475, 2024-01-31T15:53:35.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 64880.825000000004
19135551, 2024-02-01T19:05:59.000Z, 0xDe1a20Ad593386D0Ac260A8450b2349d8Ab4eb57, 500.03778600256953
19169502, 2024-02-06T13:30:35.000Z, 0x963eC454423CD543dB08bc38fC7B3036B425b301, 449331.7932441022
19169502, 2024-02-06T13:30:35.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 128202.13687589784
19189714, 2024-02-09T09:35:23.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 21801.6
19189714, 2024-02-09T09:35:23.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 8198.4
19189935, 2024-02-09T10:20:11.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 32000
19190373, 2024-02-09T11:48:59.000Z, 0xDe1a20Ad593386D0Ac260A8450b2349d8Ab4eb57, 770.84
19190897, 2024-02-09T13:34:11.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 500
19214105, 2024-02-12T19:43:47.000Z, 0x7497493f6259E2b34d2b8daBbFdE5A85870c88FB, 123117.08698185599
19214105, 2024-02-12T19:43:47.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 34555.329018143995
19225153, 2024-02-14T08:55:23.000Z, 0x963eC454423CD543dB08bc38fC7B3036B425b301, 149762.7380272392
19225153, 2024-02-14T08:55:23.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 42571.19209276079
19246311, 2024-02-17T08:11:11.000Z, 0x0000F70bC78af03f14132c68b59153E4788bAb20, 185.0177458162881
19370061, 2024-03-05T16:08:47.000Z, 0xdEa2ed23C9548c7b3E3c9dF38B040599657727Ee, 179284.06199999998
19370061, 2024-03-05T16:08:47.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 66715.93800000001
19382206, 2024-03-07T08:49:59.000Z, 0x39E5351E6CE3c4B19B8b0a2F5C82c511782457BE, 162.98552001000002
19392532, 2024-03-08T19:27:35.000Z, 0x963eC454423CD543dB08bc38fC7B3036B425b301, 71712.76602
19392532, 2024-03-08T19:27:35.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 26651.233979999997
19410817, 2024-03-11T08:59:47.000Z, 0xe0431bb2eDeA67F9FD1E3E1BbAcaeC2cEbe5763E, 5189
19412035, 2024-03-11T13:04:11.000Z, 0x935F8b66Ffd0Af758291892f0Bf21b7bBB870c16, 1000
19414461, 2024-03-11T21:13:35.000Z, 0x7497493f6259E2b34d2b8daBbFdE5A85870c88FB, 970255.4400000001
19414461, 2024-03-11T21:13:35.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 289744.56
19419363, 2024-03-12T13:41:23.000Z, 0xdEa2ed23C9548c7b3E3c9dF38B040599657727Ee, 74319.06999999999
19419363, 2024-03-12T13:41:23.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 20680.93
19421136, 2024-03-12T19:38:23.000Z, 0xC01c02aFE3837FA472b18Ae94c6b260BBb95FdcA, 63367.92
19421136, 2024-03-12T19:38:23.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 17632.079999999998
19427091, 2024-03-13T15:38:23.000Z, 0x5F7b1A064393A840711F68647d3c1f3af5BB913c, 9602.546413522288
19441374, 2024-03-15T15:55:23.000Z, 0x5a57dD9C623e1403AF1D810673183D89724a4e0c, 46948.560000000005
19441374, 2024-03-15T15:55:23.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 13051.44
19452282, 2024-03-17T04:46:35.000Z, 0x5F7b1A064393A840711F68647d3c1f3af5BB913c, 15651.2
19452282, 2024-03-17T04:46:35.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 4348.8
19453648, 2024-03-17T09:22:35.000Z, 0x5A64b7F45C4c48Fa861422E035068Aa9C7d663C1, 59.37476742757776
19458338, 2024-03-18T01:12:11.000Z, 0x4Ab12E7CE31857Ee022f273e8580F73335a73c0B, 2943.2950506046227
19465443, 2024-03-19T01:10:11.000Z, 0x4Ab12E7CE31857Ee022f273e8580F73335a73c0B, 3541.1790517817867
19535149, 2024-03-28T21:18:35.000Z, 0x963eC454423CD543dB08bc38fC7B3036B425b301, 385720.5
19535149, 2024-03-28T21:18:35.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 114279.5
19546676, 2024-03-30T12:09:47.000Z, 0x963eC454423CD543dB08bc38fC7B3036B425b301, 50152.31
19546676, 2024-03-30T12:09:47.000Z, 0x1bA26788dfDe592fec8bcB0Eaff472a42BE341B2, 14847.69
